Key,english
platformauth_PlatformBanCheckTimedOut,Kicked by {0}: Checking your {0} status timed out.
platformauth_PlatformBanned,Kicked by {0}: Your account is banned by {0}.
platformauth_PublisherIssuedBan,Kicked by {0}: Your account has been banned from the game!
platformauth_unknown,Kicked by {0} for an unknown reason. Please report this incident on the official forum.
platformauth_UserNotConnectedToPlatform,Kicked by {0}: Your {0} client is not fully connected. Try restarting your {0} client.
steamauth_k_EAuthSessionResponseAuthTicketCanceled,Steam kicked you: Your authentication has become invalid. Maybe your Steam client lost connection to the network.
steamauth_k_EAuthSessionResponseAuthTicketInvalid,Steam kicked you: Your authentication data is invalid!
steamauth_k_EAuthSessionResponseAuthTicketInvalidAlreadyUsed,Steam kicked you: Your authentication has already been used!
steamauth_k_EAuthSessionResponseLoggedInElseWhere,Steam kicked you: Your account is logged in and playing a game on another machine.
steamauth_k_EAuthSessionResponseNoLicenseOrExpired,Steam kicked you: You do not have a valid license for 7 Days To Die.
steamauth_k_EAuthSessionResponsePublisherIssuedBan,Steam kicked you: Your account has been banned from the game!
steamauth_k_EAuthSessionResponseUserNotConnectedToSteam,Steam kicked you: Steam client is not fully connected. Try restarting the Steam client.
steamauth_k_EAuthSessionResponseVACBanned,Steam kicked you: Your account is banned by VAC.
steamauth_k_EAuthSessionResponseVACCheckTimedOut,Steam kicked you: Checking your VAC status timed out.
steamauth_k_EBeginAuthSessionResultDuplicateRequest,Steam kicked you: Your authentication data is no longer valid!
steamauth_k_EBeginAuthSessionResultExpiredTicket,Steam kicked you: Your authentication data has expired!
steamauth_k_EBeginAuthSessionResultGameMismatch,Steam kicked you: Your authentication data is from a different game!
steamauth_k_EBeginAuthSessionResultInvalidTicket,Steam kicked you: Your authentication data is invalid!
steamauth_k_EBeginAuthSessionResultInvalidVersion,Steam kicked you: You run an invalid game version!
steamauth_unknown,Steam kicked you for an unknown reason. Please report this incident on the official forum.
uiLoadWaitingForConfigs,Receiving and loading configs...
inpActActionHotkey1Desc,Used for quick actions
inpActActionHotkey1Name,Action hotkey 1
inpActActionHotkey2Desc,Used for quick actions
inpActActionHotkey2Name,Action hotkey 2
inpActActionHotkey3Desc,Used for quick actions
inpActActionHotkey3Name,Action hotkey 3
inpActActionHotkey4Desc,Used for quick actions
inpActActionHotkey4Name,Action hotkey 4
inpActActivateDesc,"Interact with containers, workstations etc. in the world"
inpActActivateName,Interact
inpActBackgroundedScreenshotDesc,Disables rendering of the environment for easier screenshots of the player character.
inpActBackgroundedScreenshotName,Backgrounded Screenshot
inpActCameraChangeDesc,Toggles camera between first or third person. Holding will make mouse wheel change the third person camera distance.
inpActCameraChangeName,Change Camera
inpActCameraZoomInDesc,Zoom the camera in
inpActCameraZoomInName,Camera Zoom+
inpActCameraZoomOutDesc,Zoom the camera out
inpActCameraZoomOutName,Camera Zoom-
inpActCategoryLeftDesc,"Select previous filter category,\ne.g. in workstations or creative menu"
inpActCategoryLeftName,Previous Category
inpActCategoryRightDesc,"Select next filter category,\ne.g. in workstations or creative menu"
inpActCategoryRightName,Next Category
inpActCharacterDesc,เปิดแท็บคลังตัวละคร
inpActCharacterName,ตัวละคร
inpActChatDesc,Open chat window
inpActChatName,Chat
inpActConsoleDesc,Toggle console window
inpActConsoleName,Console
inpActCreativeDesc,Open creative menu tab
inpActCreativeName,Creative Menu
inpActDebugScreenshotDesc,Take screenshot with additional information for debugging purposes.
inpActDebugScreenshotName,Debug Screenshot
inpActDebugSpawnDesc,Toggle entity spawner window
inpActDebugSpawnName,Entity Spawner
inpActDecGodSpeedDesc,Decrease movement speed for god mode (when not running)
inpActDecGodSpeedName,Decrease God Speed
inpActDensityM10Desc,Decrease density of focused block/selection by 10.
inpActDensityM10Name,Density -10
inpActDensityM1Desc,Decrease density of focused block/selection by 1.
inpActDensityM1Name,Density -1
inpActDensityP10Desc,Increase density of focused block/selection by 10.
inpActDensityP10Name,Density +10
inpActDensityP1Desc,Increase density of focused block/selection by 1.
inpActDensityP1Name,Density +1
inpActDetachCameraDesc,Detaches the camera from player movement.
inpActDetachCameraName,Detach Camera
inpActFlyModeDesc,Toggle fly mode
inpActFlyModeName,Fly Mode
inpActFocusCopyBlockDesc,Create a stack of 99 blocks of the type that you currently look at.
inpActFocusCopyBlockName,Copy focused block
inpActFocusSearchDesc,Set input focus to search field of current dialog
inpActFocusSearchName,Focus Search
inpActFullscreenDesc,Toggle fullscreen mode
inpActFullscreenName,Fullscreen
inpActGodModeDesc,"Toggle god mode (fly, no clip, invulnerability)"
inpActGodModeName,God Mode
inpActGuiCursor,Cursor movement
inpActGuiCursorDesc,Control the UI cursor movement
inpActGuiLeftclick,UI primary click
inpActGuiRightclick,UI secondary click
inpActHonkHornDesc,Honk the horn while on the minibike
inpActHonkHornName,Honk Horn
inpActIncGodSpeedDesc,Increase movement speed for god mode (when not running)
inpActIncGodSpeedName,Increase God Speed
inpActInspectDesc,แสดงข้อมูลไอเทม
inpActInspectName,ตรวจสอบ
inpActInventoryDesc,Open crafting tab of inventory. Hold for a moment\nto bring up radial to select dialog instead.
inpActInventoryName,รายการสิ่งของ
inpActInventorySlot10Desc,Select toolbelt slot 10
inpActInventorySlot10Name,Slot 10
inpActInventorySlot1Desc,Select toolbelt slot 1
inpActInventorySlot1Name,Slot 1
inpActInventorySlot2Desc,Select toolbelt slot 2
inpActInventorySlot2Name,Slot 2
inpActInventorySlot3Desc,Select toolbelt slot 3
inpActInventorySlot3Name,Slot 3
inpActInventorySlot4Desc,Select toolbelt slot 4
inpActInventorySlot4Name,Slot 4
inpActInventorySlot5Desc,Select toolbelt slot 5
inpActInventorySlot5Name,Slot 5
inpActInventorySlot6Desc,Select toolbelt slot 6
inpActInventorySlot6Name,Slot 6
inpActInventorySlot7Desc,Select toolbelt slot 7
inpActInventorySlot7Name,Slot 7
inpActInventorySlot8Desc,Select toolbelt slot 8
inpActInventorySlot8Name,Slot 8
inpActInventorySlot9Desc,Select toolbelt slot 9
inpActInventorySlot9Name,Slot 9
inpActInventorySlotLeftDesc,Cycle toolbelt slot to the left
inpActInventorySlotLeftName,Previous Slot
inpActInventorySlotRightDesc,Cycle toolbelt slot to the right
inpActInventorySlotRightName,Next Slot
inpActInvisibleModeDesc,Toggle invisible mode
inpActInvisibleModeName,Invisible Mode
inpActJournalDesc,Open journal tab
inpActJournalName,Journal
inpActLockFreeCameraDesc,Locks the camera rotation.
inpActLockFreeCameraName,Lock Camera
inpActMapDesc,Open map tab
inpActMapName,แผ่นที่
inpActMenuDesc,Open menu
inpActMenuName,เมนู
inpActPageDownDesc,Previous page in lists
inpActPageDownName,Page Down
inpActPageUpDesc,Next page in lists
inpActPageUpName,Page Up
inpActPlayerCrouchDesc,ค้างไว้เพื่อหมอบ
inpActPlayerCrouchName,หมอบ
inpActPlayerDropDesc,Drops the item from the currently active toolbelt slot
inpActPlayerDropName,Drop Toolbelt Item
inpActPlayerJumpDesc,กระโดด
inpActPlayerJumpName,กระโดด
inpActPlayerLook,Look
inpActPlayerLookDesc,Control player look direction
inpActPlayerMoveBackDesc,Move backward
inpActPlayerMoveBackName,Back
inpActPlayerMoveForwardDesc,Move forward
inpActPlayerMoveForwardName,Forward
inpActPlayerMoveLeftDesc,Strafe left
inpActPlayerMoveLeftName,Left
inpActPlayerMoveRightDesc,Strafe right
inpActPlayerMoveRightName,Right
inpActPlayerPrimaryDesc,"Shooting, rotating blocks, etc."
inpActPlayerPrimaryName,Primary Action
inpActPlayerReloadDesc,Reload currently hold item or keep pressed for\na moment to select ammunition / block rotation / paint type.
inpActPlayerReloadName,Reload
inpActPlayerRunDesc,Hold for running
inpActPlayerRunName,วิ่ง
inpActPlayerSecondaryDesc,"Aim down sights, place blocks, etc."
inpActPlayerSecondaryName,Secondary Action
inpActPlayerToggleCrouchDesc,Toggle crouching
inpActPlayerToggleCrouchName,Toggle Crouch
inpActPlayerToggleFlashlightDesc,"Toggle all sorts of player lights, e.g.\nflashlights, gun mounted lights, nightvision"
inpActPlayerToggleFlashlightName,Toggle Flashlight
inpActPrefabDesc,Open prefab settings dialog in prefab editor.
inpActPrefabName,Prefab
inpActPushToTalkDesc,Hold to transmit your voice to other players.
inpActPushToTalkName,Push to Talk
inpActQuestsDesc,เปิดแท็บเควส
inpActQuestsName,เควส
inpActQuickMoveDesc,Move the stack under the cursor to the default destination
inpActQuickMoveName,Quick Move
inpActReloadTakeAllDesc,Reload currently hold item or keep pressed for\na moment to select ammunition / block rotation / paint type.\nAlso used to take everything from the currently opened loot container.
inpActReloadTakeAllName,Reload / Take All
inpActScopeZoomInDesc,Also used for scrolling through toolbelt slots
inpActScopeZoomInName,Scope Zoom In
inpActScopeZoomOutDesc,Also used for scrolling through toolbelt slots
inpActScopeZoomOutName,Scope Zoom Out
inpActScoreboardDesc,Open scoreboard tab
inpActScoreboardName,Scoreboard
inpActScreenshotDesc,"Take screenshot, saved in game directory"
inpActScreenshotName,Screenshot
inpActSelectionClearDesc,Clear the selected area by filling it with air blocks.
inpActSelectionClearName,Selection Clear
inpActSelectionDeleteDesc,Delete the selection box.
inpActSelectionDeleteName,Delete Selection
inpActSelectionFillDesc,Fill the selected area with the block you are holding in your hands.
inpActSelectionFillName,Selection Fill
inpActSelectionMoveModeDesc,Toggle selection movement by keyboard direction keys between:\n- Always move in the world direction of the key (e.g. forward being move selection north)\n- Always move relative to player view direction (e.g. forward being move selection in the direction the player is looking)
inpActSelectionMoveModeName,Switch Selection Move Mode
inpActSelectionRotateDesc,Rotate the selected area around the Y axis.
inpActSelectionRotateName,Rotate Selection
inpActSelectionSetDesc,Set the start / end block of a selection area.
inpActSelectionSetName,Selection Set
inpActShowDebugDataDesc,Cycle through debug windows
inpActShowDebugDataName,Debug Window
inpActShowFPSDesc,Toggle FPS display on/off
inpActShowFPSName,FPS display
inpActSkillsDesc,Open skills tab
inpActSkillsName,Skills
inpActSwitchHUDDesc,Toggle HUD on/off
inpActSwitchHUDName,Toggle HUD
inpActSwitchViewDesc,Toggle between first-person and third-person mode
inpActSwitchViewName,Switch View
inpActTakeAllDesc,Take everything from the currently opened loot container
inpActTakeAllName,Take All
inpActTakeHalfDesc,Take half of the stack under the cursor
inpActTakeHalfName,Take Half Stack
inpActToggleDCMoveDesc,Toggle between moving the camera and the player when camera is detached.
inpActToggleDCMoveName,Toggle DC Move
inpActToggleTurnModeDesc,Toggle between steer by look direction vs by left stick
inpActToggleTurnModeName,Steering mode
inpActUiCancelDesc,Close currently open UI windows
inpActUiCancelName,Close Windows
inpActUiSelectTakeFullDesc,Take the complete stack under the cursor.\nSelect the button under the cursor
inpActUiSelectTakeFullName,Take Full Stack / Select Button
inpActUiTabLeftDesc,Cycle through the dialog tabs left
inpActUiTabLeftName,Previous Tab
inpActUiTabRightDesc,Cycle through the dialog tabs right
inpActUiTabRightName,Next Tab
inpActVehicleBrakeDesc,Handbrake
inpActVehicleBrakeName,Brake
inpActVehicleHopDesc,Make a little jump
inpActVehicleHopName,Hop
inpActVehicleLookDesc,Control the camera view direction
inpActVehicleLookName,Camera
inpActVehicleMoveBackDesc,Slow down / drive backwards
inpActVehicleMoveBackName,Reverse
inpActVehicleMoveForwardDesc,Drive forward
inpActVehicleMoveForwardName,Forward
inpActVehicleMoveLeftDesc,Steer left
inpActVehicleMoveLeftName,Left
inpActVehicleMoveRightDesc,Steer right
inpActVehicleMoveRightName,Right
inpActVehicleToggleLightDesc,Toggle vehicle lights on/off
inpActVehicleToggleLightName,Toggle Lights
inpActVehicleTurboDesc,Turbo Boost
inpActVehicleTurboName,Turbo
inpActZoomInDesc,Zoom in on the map
inpActZoomInName,Map Zoom+
inpActZoomOutDesc,Zoom out on the map
inpActZoomOutName,Map Zoom-
inpButtonAlt,Alt
inpButtonAltGr,AltGr
inpButtonBackquote,`
inpButtonBackslash,\
inpButtonBackspace,Backspace
inpButtonButton4,Mouse Button 4
inpButtonButton5,Mouse Button 5
inpButtonButton6,Mouse Button 6
inpButtonButton7,Mouse Button 7
inpButtonButton8,Mouse Button 8
inpButtonButton9,Mouse Button 9
inpButtonCapsLock,Caps Lock
inpButtonClear,Num Clear
inpButtonComma,","
inpButtonCommand,Command
inpButtonControl,Control
inpButtonDelete,Delete
inpButtonDownArrow,Down
inpButtonEnd,End
inpButtonEquals,#ERROR!
inpButtonEscape,ESC
inpButtonForwardDelete,Forward Delete
inpButtonHome,Home
inpButtonInsert,Insert
inpButtonLeftAlt,Left Alt
inpButtonLeftArrow,Left
inpButtonLeftBracket,[
inpButtonLeftButton,Left Mouse Button
inpButtonLeftCommand,Left Command
inpButtonLeftControl,Left Control
inpButtonLeftOption,Left Option
inpButtonLeftShift,Left Shift
inpButtonMiddleButton,Middle Mouse Button
inpButtonMinus,-
inpButtonNegativeScrollWheel,Mousewheel -
inpButtonNone,-None-
inpButtonNum0,0
inpButtonNum1,1
inpButtonNum2,2
inpButtonNum3,3
inpButtonNum4,4
inpButtonNum5,5
inpButtonNum6,6
inpButtonNum7,7
inpButtonNum8,8
inpButtonNum9,9
inpButtonNumlock,Num Lock
inpButtonOption,Option
inpButtonPad0,Num 0
inpButtonPad1,Num 1
inpButtonPad2,Num 2
inpButtonPad3,Num 3
inpButtonPad4,Num 4
inpButtonPad5,Num 5
inpButtonPad6,Num 6
inpButtonPad7,Num 7
inpButtonPad8,Num 8
inpButtonPad9,Num 9
inpButtonPadDivide,Num Divide
inpButtonPadEnter,Num Enter
inpButtonPadEquals,Num Equals
inpButtonPadMinus,Num Minus
inpButtonPadMultiply,Num Multiply
inpButtonPadPeriod,Num Period
inpButtonPadPlus,Num Plus
inpButtonPageDown,Page Down
inpButtonPageUp,Page Up
inpButtonPeriod,.
inpButtonPositiveScrollWheel,Mousewheel +
inpButtonQuote,
inpButtonReturn,Return
inpButtonRightAlt,Right Alt
inpButtonRightArrow,Right
inpButtonRightBracket,]
inpButtonRightButton,Right Mouse Button
inpButtonRightCommand,Right Command
inpButtonRightControl,Right Control
inpButtonRightOption,Right Option
inpButtonRightShift,Right Shift
inpButtonSemicolon,;
inpButtonShift,Shift
inpButtonSlash,/
inpButtonSpace,Space
inpButtonTab,Tab
inpButtonUpArrow,Up
inpGrpAdminDesc,Admin mode features
inpGrpAdminName,Admin
inpGrpDialogsDesc,In game dialog keys
inpGrpDialogsName,Dialogs
inpGrpEditName,Edit Mode
inpGrpGlobalFunctionsDesc,Global generic hotkeys not related to actual gameplay
inpGrpGlobalFunctionsName,Generic
inpGrpMenuDesc,Hotkeys for player menus
inpGrpMenuName,Menu
inpGrpMpDesc,Features for multiplayer
inpGrpMpName,Multiplayer
inpGrpPlayerControlDesc,"Controlling your character, interacting with the world"
inpGrpPlayerControlName,Player movement
inpGrpToolbeltDesc,Toolbelt slot selection
inpGrpToolbeltName,Toolbelt
inpGrpUiDesc,Controlling the UI
inpGrpUiName,UI
inpTabEdit,Edit Mode
inpTabGlobal,Global
inpTabMenus,Menus
inpTabOther,Misc
inpTabPlayerControl,Movement
inpTabToolbelt,Toolbelt
inpTabUi,UI
inpTabVehicle,Vehicle
inpUnboundControllerKey,-Unused-
inpUnboundControllerKeyTooltip,Button is not used for any function
xuiControlBindingsForPlayer,Player Control
xuiControlBindingsForUI,User Interface
xuiControlBindingsForVehicles,Vehicle Control
xuiOptionsControlsShowBindingsFor,Show for
xuiOptionsControlsShowBindingsForTooltip,Select for which part of the game you want to see the controller mappings.
xuiCreateWorldNameInvalidTooltip,World name has to be non-empty and may not match an existing world name.
xuiCreateWorldSizeInvalidTooltip,World size has to be at least {0} and be a multiple of {1}.
msgConnectingToServer,Connecting to server {0}...
msgConnectingToServerCancel,(Press ESC to cancel)
msgGeneratingDistantTerrain,Generating Distant Terrain
msgLoadingUI,Loading UI
uiLoadCreatingPlayer,กำลังสร้างผู้เล่น...
uiLoadCreatingWorld,Initializing world...
uiLoadDownloadingWorld,Downloading World: {0:P0}
uiLoadDownloadingWorldEstimate,Downloading World: {0:P0}\n(Estimated {1}:{2:00})
uiLoadDownloadingWorldWait,Waiting for server to send the world...
uiLoadLoadingXml,กำลังโหลดข้อมูลเกม...
uiLoadStartingGame,เริ่มเกม...
uiLoadWaitingForServer,Waiting for server...
loadActionBlocks,blocks
loadActionBlockTextures,block textures
loadActionCharacterModels,character models
loadActionDone,done
loadActionItems,items
loadActionLoading,Loading
loadActionMaterials,materials
loadActionMoveSaveGameFolder,moving savegame folder
loadActionParticles,particles
loadActionTerrainTextures,terrain textures
loadingTipArmor,เกราะเพิ่มระดับเกราะของคุณซึ่งมองเห็นได้ในหน้าจอตัวละคร ระดับเกราะ 90 ลดความเสียหายที่ได้รับ 90% เกราะยังสามารถต้านทานเอฟเฟกต์ต่างๆ เช่น เลือดออกหรือทำให้มึนงง เกราะบางตัวทำให้คุณช้าลงและเปลืองแรงมากขึ้นในการเคลื่อนที่.
loadingTipArmor_title,เกราะ
loadingTipAxes,ขวานใช้เพื่อตัดไม้ได้อย่างยอดเยี่ยม แต่ไม่ใช่กับการฆ่าซอมบี้.
loadingTipAxes_title,ขวาน
loadingTipBandages,บาดแผลบางอย่างอาจร้ายแรงและทำให้คุณเลือดออกได้ พกผ้าพันแผลไว้บนช่องเข็มขัดของคุณเพื่อให้คุณใช้ได้อย่างรวดเร็วกด [action:local:Primary] เพื่อรักษาอาการตกเลือดของตัวเอง หรือใช้ [action:local:Secondary] เพื่อรักษาอาการให้เพื่อน.
loadingTipBandages_title,ผ้าพันแผลเบื้องต้น
loadingTipBaseUpgrading,"สร้างบล็อคสามารถอัปเกรดให้แข็งแกร่งขึ้นด้วยวัสดุและขวาน\nวัสดุส่วนใหญ่ที่ใช้สำหรับอัปเกรดมี ไม้, หินปูถนน หิน, คอนกรีดผสม และ แท่งเหล็กกล้าขึ้นรูป."
loadingTipBaseUpgrading_title,อัพเกรดฐานที่มั่น
loadingTipBladedWeapons,อาวุธใบมีด เช่น มีด และมีดพร้าเหมาะกับการเก็บเกี่ยวเนื้อสัตว์ได้อย่างดี เช่น หนังสัตว์ กระดูกจากสัตว์ และซากศพ\nอาวุธเหล่านี้จะทำให้โจมตีติดสถานะเลือดออกทุกๆการโจมตี ซึ่งสามารถเพิ่มระดับจากทักษะ Deep Cuts.
loadingTipBladedWeapons_title,อาวุธมีด
loadingTipBuffs,ในระหว่างเกมคุณจะมีค่าสถานะมากมาย (บัฟ และ แก้บัฟ)\nในขณะที่คุณอยู่ในเมนูเกมใดๆ เช่น เมนูทักษะ หรือเมนูคราฟ กดที่ไอคอนสถานะด้านซ้ายล่างของจอ จะแสดงคำอธิบายของค่าสถานะนั้น.
loadingTipBuffs_title,สถานะ เอฟเฟกต์
loadingTipCraftingBetterQL,เมื่อเริ่มเกมคุณสามารถสร้างเครื่องมือที่คุณภาพต่ำเท่ากับ 1 เช่นขวานหิน คุณภาพสิ่งของจะแสดงผลอยู่ด้านล่างสิ่งของนั้นๆ เพื่อสร้างของคุณภาพสูงต้องมีทักษะเฉพาะด้าน เช่น ทักษะ นักขุด สำหรับเพิ่มค่าคุณภาพของขวานหิน .
loadingTipCraftingBetterQL_title,ฉันจะสร้างเครื่องมือที่ดีกว่านี้ได้อย่างไรนะ?
loadingTipDistraction,เมื่อคุณโยนหินเล็กๆหรือลูกบอลหิมะคุณอาจจะเบี่ยงเบนความสนใจของพวกซอมบี้ได้\nกด [action:local:Primary] ค้างเพื่อเพิ่มความแรงในการโยน และดูพวกมันเดินไปทางที่คุณอยากให้มันไป.
loadingTipDistraction_title,การเบี่ยงเบนความสนใจ
loadingTipEncumbrance,แน่นอนหล่ะการแบกของไว้เยอะๆมันจะทำให้คุณเคลื่อนที่ช้าลง ลองตัดเย็บกระเป๋าเล็กๆดูสิ เพื่อมาเสริมให้กับเสื้อผ้าและชุด ก็จะช่วยเพิ่มช่องสัมภาระได้ หากยังไม่รู้วิธีทำก็ใช้แต้มสกิลอัพ Perk ที่ชื่อว่า Pack Mule ดูสิ.
loadingTipEncumbrance_title,หนักเกินไปใช่ไหม?
loadingTipExtCharStats,"เพื่อเข้าสู่เมนูตัวละครให้กด [action:local:Inventory][action:permanent:Character],ใต้ชื่อตัวละครของคุณให้เลือก สถิติตัวละครเพิ่มเติม\nเพื่อดูสถิติทั้งหมดของตัวละครของคุณ ซึ่งรวมถึง ทักษะ, บัพ, เสื้อผ้าที่สวมใส่, เกราะ และอาวุธ."""
loadingTipExtCharStats_title,ข้อมูลตัวละครเพื่มเติม
loadingTipGlue,เป็นวัตถุดิบที่นำมาสร้างสิ่งต่างๆได้อย่างหลากหลาย อย่างเช่น เทปกาว การผลิตกาวสามารถทำได้ด้วยการนำกระดูกมาผ่านกระบวนการโดยใช้ cooking pot หรือที่โต๊ะ chemistry station .
loadingTipGlue_title,กาว
loadingTipHarvestingCorpses,ซากสัตว์และซากสัตว์เน่านั้นสามารถเก็บเกี่ยวได้คุณจะได้รับหนัง เนื้อ และกระดูก กระดูกใช้สำหรับทำกาวและเทปพันท่อ. ขวานหินสามารถเก็บเกี่ยวได้ แต่มีดและมีดพร้ามีประสิทธิภาพมากกว่า\nส่วนมีดกระดูกนั้นสามารถประดิษฐ์ขึ้นได้ตั้งแต่เนิ่นๆ.
loadingTipHarvestingCorpses_title,การชำแหละซาก
loadingTipHarvestingResources,การเก็บรวบรวมทรัพยากรต่างๆโดยการใช้มือต่อยต้นไม้และหินคงเป็นวิธีที่สิ้นคิด จะง่ายกว่ามั๊ยหล่ะถ้าหาเครื่องมือดีๆสักชิ้นมาใช้ ทั้งรวดเร็วและได้ปริมาณที่เยอะ.
loadingTipHarvestingResources_title,รวบรวมทรัพยากร
loadingTipItemStats,คลิกที่ไอเทมในช่องสัมภาระ จะแสดงแท็ปรายละเอียดค่าสถานะของไอเทม รวมถึงค่าสถานะที่ได้จากการปรับแต่งด้วย Mod ต่างๆ.
loadingTipItemStats_title,ค่าสถานะไอเทม
loadingTipJournalEntries,คุณสามารถกดปุ่ม N บนคีร์บอร์ด จากนั้นมองหาสัญลักษณ์รูปปากกา เพื่อเช็คดูซิว่าคุณผ่านอะไรมาบ้างกับการเอาชีวิตรอดบนโลกที่โหดร้ายแห่งนี้.
loadingTipJournalEntries_title,บันทึกการเดินทาง
loadingTipKnownSchematics,หากคุณมีหนังสือหรือนิตยสารในคลังของคุณ คุณสามารถบอกได้ว่าคุณรู้สูตรหรือความสามารถนี้แล้วหรือยัง มีสัญลักษณ์หนังสือเล่มเล็กอยู่ที่ด้านบนซ้ายของไอคอน หากคุณเคยอ่านบทความนี้แล้ว หรือหากคุณปลดล็อกสูตรเดียวกันด้วยคะแนนทักษะแล้ว ระบบจะแสดงสัญลักษณ์หนังสือที่เปิดอยู่.
loadingTipKnownSchematics_title,สูตรที่รู้จักและไม่รู้จัก
loadingTipMainHUD,บน HUD สุขภาพและระดับพละกำลังของคุณจะแสดงเป็นแถบสีแดงและสีน้ำเงิน ระดับอาหารและน้ำจะแสดงเป็นแถบสีเขียวและสีน้ำเงินใต้แถบเครื่องมือของคุณ เปิดหน้าจอตัวละครของคุณด้วย [action:local:Inventory][action:permanent:Character] เพื่อดูสถิติผู้เล่นโดยละเอียดในแท็บด้านล่างชื่อตัวละครของคุณ
loadingTipMainHUD_title,แถบหน้าจอหลัก
loadingTipPickaxes,อีเตอร์นั้นเป็นเครื่องมือที่ดีในการนำมาขุดแร่ต่างๆ เช่น\nแร่เหล็ก ตะกั่ว ถ่านหิน หินน้ำมัน และโพแทสเซียมไนเตรต.
loadingTipPickaxes_title,อีเตอร์
loadingTipProperTools,ขวานหินนำมาใช้ทำงานได้ทุกอย่าง แต่ก็ยังช้ากว่าการใช้เครื่องมือเหล็กและเครื่องมือที่ใช้เครื่องยนต์ ฉะนั้นแล้วขวานจะเหมาะกับการใช้ตัดต้นไม้ อีเตอร์ใช้ขุดหิน สินแร่ และโลหะ มีดใช้แล่เนื้อและหนัง ค้อนใหญ่ใช้ทุบทุกอย่างให้พังอย่างง่ายดายแต่ไม่เหมาะที่จะนำมาเก็บเกี่ยวทรัพยากร.
loadingTipProperTools_title,ใช้เครื่องมือให้ถูกกับงาน
loadingTipQuestSharing,หากคุณเล่นกับเพื่อน คุณสามารถแบ่งปันภารกิจได้ ดังนั้นผู้เข้าร่วมทั้งหมดจะได้รับรางวัลเมื่อสำเร็จ หลังจากรับภารกิจกด[action:local:Inventory][action:permanent:Quests]และกดบนไอคอนเครื่องหมายตกใจเพื่อเข้าถึงภารกิจ \nถ้าคุณกดบนภารกิจที่สามารถแบ่งปันแล้ว ปุ่มจะปรากฎขึ้นเหนือรายการภารกิจ\nถ้าคุณได้รับแบ่งปันภารกิจ ตรวจสอบให้แน่ใจว่าเป็นตัวที่ใช้งานอยู่ เพื่อให้คุณเห็นภารกิจ.
loadingTipQuestSharing_title,การแชร์ภาระกิจ
